,product_id,brand,title,price,category,rating,image_url,product_url,clusters
0,B08YRWN3WB,JANSPORT,Big Student Large laptop backpack Black EK0A5BAHN551,189,New season,4.7,https://m.media-amazon.com/images/I/51y2EF0OmOL._AC_UL320_.jpg,https://www.amazon.ae/dp/B08YRWN3WB,8
1,B08YRXFZZM,JANSPORT,Superbreak Day Pack,119,New season,4.6,https://m.media-amazon.com/images/I/51yvvQUs3SL._AC_UL320_.jpg,https://www.amazon.ae/dp/B08YRXFZZM,8
2,B09Q2PQ7ZB,BAODINI,Mini Travel Umbrella With Case Small Compact UV Umbrella Protection Sun Lightweight Tiny Pocket Umbrella,17.79,New season,4.2,https://m.media-amazon.com/images/I/71WbrZPbnGL._AC_UL320_.jpg,https://www.amazon.ae/dp/B09Q2PQ7ZB,10
3,B001BEAWXY,Calvin Klein,Men's Cotton Classics 3-Pack Boxer Brief,119,New season,4.2,https://m.media-amazon.com/images/I/716vzeqa7ZL._AC_UL320_.jpg,https://www.amazon.ae/dp/B001BEAWXY,0
4,B09FM5PMN3,JANSPORT,Unisex Kids Bag Backpack,179,New season,4.4,https://m.media-amazon.com/images/I/51XASBuqjrL._AC_UL320_.jpg,https://www.amazon.ae/dp/B09FM5PMN3,8
5,B08YRVSZLJ,JANSPORT,Superbreak Backpack,129,New season,4.6,https://m.media-amazon.com/images/I/51kw4XtzuyL._AC_UL320_.jpg,https://www.amazon.ae/dp/B08YRVSZLJ,8
6,B0BY12QTS5,yeuG,"Non Slip Pilates Socks with Grips for Women, Grip Socks for Yoga Ballet Barefoot Workout Anti Skid Athletic Socks",19,New season,4.6,https://m.media-amazon.com/images/I/71g1ZrrOk9L._AC_UL320_.jpg,https://www.amazon.ae/dp/B0BY12QTS,10
7,B09N2PJXRZ,adidas,unisex Classic 3-Stripes Backpack BACKPACK,77,New season,4.5,https://m.media-amazon.com/images/I/81Beonq+r1L._AC_UL320_.jpg,https://www.amazon.ae/dp/B09N2PJXRZ,0
8,B08GS7DWS1,Tommy Hilfiger,"THEO Men Watch, Analog",209.6,New season,4.4,https://m.media-amazon.com/images/I/614YUufLpwL._AC_UL320_.jpg,https://www.amazon.ae/dp/B08GS7DWS,9
10,B09F35Y815,Nike,Mens ELMNTL - LBR BACKPACK,119,New season,4.6,https://m.media-amazon.com/images/I/61OkQHiZOnL._AC_UL320_.jpg,https://www.amazon.ae/dp/B09F35Y8,8
11,B08YRX1PF2,JANSPORT,"JanSport BIG STUDENT Großer Rucksack, 15 inch -Laptopfach",123.85,New season,4.6,https://m.media-amazon.com/images/I/61pIosB5rHL._AC_UL320_.jpg,https://www.amazon.ae/dp/B08YRX1PF,8
12,B0C8TJ79FM,livbote,"Gym Bag for Women Men with Shoe Compartment, Sport Duffel Bag, Waterproof Travel Weekender Overnight Carry on Bag for Yoga with Trolley Sleeve, Black, A-Black, Shoe Compartment",37.9,New season,4.5,https://m.media-amazon.com/images/I/71G56RIbyGL._AC_UL320_.jpg,https://www.amazon.ae/dp/B0C8TJ79FM,7
13,B09N2NDN9V,adidas,unisex Power Backpack BACKPACK,87.15,New season,4.6,https://m.media-amazon.com/images/I/91fV9nyuv7L._AC_UL320_.jpg,https://www.amazon.ae/dp/B09N2NDN9V,8
14,B09NYGYSM7,Nike,NK BRSLA XS DUFF - 9.5 (25L),109,New season,4.7,https://m.media-amazon.com/images/I/81E3Y3wxgxL._AC_UL320_.jpg,https://www.amazon.ae/dp/B09NYGYSM7,8
15,B08YRYDXYB,JANSPORT,Unisex Big Student Big Student,189,New season,4.6,https://m.media-amazon.com/images/I/510wZIlA3rL._AC_UL320_.jpg,https://www.amazon.ae/dp/B08YRYDXYB,8
